Publication Number,Title,Claims
WO2007095871A3,"SUPERPARAMAGNETIC NANOPARTICLES BASED ON IRON OXIDES WITH MODIFIED SURFACE, METHOD OF THEIR PREPARATION AND APPLICATION ",
WO2007011074A1,RNA EXPRESSION VECTOR SELECTIVE TO NERVOUS SYSTEM CELL ,
WO2008053909A1,AGENT FOR CONTROLLING GROWTH AND/OR DIFFERENTIATION OF MESENCHYMAL STEM CELL ,
WO2006121043A1,CULTURE METHOD FOR MESENCHYMAL STEM CELL AND PROCESS FOR PRODUCTION OF SUPPORTING MATERIAL FOR BIOLOGICAL TISSUE ,
WO2008101100A3,COMPOSITION FOR STIMULATING FORMATION OF VASCULAR STRUCTURES ,
WO1998006422A1,HEMATOPOIETIC STEM CELL PROLIFERATING AGENTS ,
WO2007090102A3,BIOMIMETIC SCAFFOLDS ,
WO2008115978A3,POLYMER WITH ABILITY TO SIGNAL THE RECRUITMENT OF VASCULAR PROGENITOR CELLS ,
WO2001095861A3,TRANSDIFFERENTIATION OF GLIAL CELLS ,
WO2010065567A3,"METHODS AND COMPOSITIONS FOR ALTERING HEALTH, WELLBEING, AND LIFESPAN ",
WO2008040027A3,DIRECTED DIFFERENTIATION AND MATURATION OF STEM CELL-DERIVED CARDIOMYOCYTES ,
WO2002070747A1,METHOD OF MOLECULAR DIAGNOSIS OF CHRONIC MYELOGENOUS LEUKEMIA ,
WO2008081456A3,COMPOSITION AND METHOD FOR ENHANCING CELL GROWTH AND CELL FUSION ,
WO2004101807A3,HIGH TROUGHPUT MONITORING CHAMBER FOR TESTING DRUG EFFECTS ON REPOLARIZATION AND CONDUCTION ,
WO2005014615A3,SELF-ASSEMBLING PEPTIDES INCORPORATING MODIFICATIONS AND METHODS OF USE THEREOF ,
WO2010059862A3,COMPOSITIONS AND METHODS TO GENERATE PILOSEBACEOUS UNITS ,
WO2009132068A3,TREATMENT OF PLURIPOTENT CELLS ,
WO2004090121A3,STEM CELLS HAVING INCREASED SENSITIVITY TO A CHEMOATTRACTANT AND METHODS OF GENERATING AND USING SAME ,
WO2007126077A1,METHOD FOR DIFFERENTIATION INDUCTION OF MYOCARDIAL CELL FROM PLURIPOTENT STEM CELL ,
WO2004081565A1,METHOD OF SELECTING ADIPOCYTE DIFFERENTIATION CONTROLLER ,
WO2003075789A3,DUAL BLOOD DONATION PLUS METHOD ,
WO2002097066A3,HUMAN VASCULAR PROGENITOR CELLS ,
WO2006088867A3,METHOD FOR EXPANSION OF STEM CELLS ,
WO2008010991A3,METHODS AND COMPOSITIONS FOR THE TREATMENT OF CANCER ,
WO2008067115A3,SELECTIVE IMMUNODEPLETION OF ENDOGENOUS STEM CELL NICHE FOR ENGRAFTMENT ,
WO2009065093A3,USE OF STEM CELLS FOR WOUND HEALING ,
WO2009139177A1,BLOOD PLATELET INDUCTION METHOD ,
WO2004015077A9,COMPOSITIONS AND METHODS FOR NEURAL DIFFERENTIATION OF EMBRYONIC STEM CELLS ,
WO2010008059A1,METHOD FOR STORING CELLS AND DEVICE THEREFOR ,
WO2006086746A8,HOMOGENEOUS NEURAL PRECURSOR CELLS ,
WO2008103807A3,METHODS OF PRODUCING PREADIPOCYTES AND INCREASING THE PROLIFERATION OF ADULT ADIPOSE STEM/PROGENITOR CELLS ,
WO2007016606A3,COMPOSITIONS AND METHODS FOR MODULATING RANK ACTIVITIES ,
WO2010010000A3,"SCREENING METHOD, DIAGNOSTIC METHOD AND SMALL NUCLEIC ACID FOR THE TREATMENT OF CNS DISORDERS ",
WO2010117198A2,PRODUCTION PROCESS OF GENDER-SPECIFIC SERUM AND BIOMARKER USING THE SERUM ,
WO2001051616A3,TECHNIQUES FOR GROWTH AND DIFFERENTIATION OF HUMAN PLURIPOTENT STEM CELLS ,
WO2003070083A3,ENDOTHELIAL PRECURSOR CELLS FOR ENHANCING AND RESTORING VASCULAR FUNCTION ,
WO2008069122A1,MARKER FOR DIFFERENTIATION OF MESENCHYMAL STEM CELL INTO CHONDROCYTE ,
WO2009085969A3,COMPOSITIONS ET PROCÉDÉS POUR FAVORISER L'IMPLANTATION ET LA PRISE DE GREFFE DE CELLULES SOUCHES ,
WO2007055882A3,BREAST AUGMENTATION AND RECONSTRUCTION SYSTEM ,
WO2001080633A3,SURFACTANT PROTEIN D FOR THE PREVENTION AND DIAGNOSIS OF PULMONARY EMPHYSEMA ,
WO2008094689A3,POTENTIATION OF STEM CELL HOMING AND TREATMENT OF ORGAN DYSFUNCTION OR ORGAN FAILURE ,
WO2003041496A1,TRANSGENIC ANIMAL ,
WO2003000852A3,METHOD OF PRODUCING REGION-SPECIFIC NEURONS FROM HUMAN NEURONAL STEM CELLS ,
WO2003000885A1,PROCESS FOR CONSTRUCTING MUTANT ,
WO2006128885A3,USES OF OLIGONUCLEOTIDES STIMULATORY OF THE MESENCHYMAL STEM CELL PROLIFERATION ,
WO2010095911A2,COMPOSITION FOR ENHANCING IMMUNITY CONTAINING PLANT STEM CELL LINE DERIVED FROM CAMBIUM OF PANAX GINSENG INCLUDING WILD GINSENG OR GINSENG AS AN ACTIVE INGREDIENT ,
WO2008081457A3,"METHODS OF ISOLATING CARDIAC STEM CELLS, BANKING AND USES THEREOF ",
WO2010099589A1,METHOD FOR MODIFYING BOVINE EMBRYO STEM CELLS AND METHOD FOR PURIFYING PROTEINS PRODUCED BY MODIFIED BOVINE EMBRYO STEM CELLS ,
WO2009155301A3,MULTIPOTENT NEURAL CELLS ,
WO2008093828A1,METHOD AND MEMBER FOR ANALYSIS OF MOLECULE ON THE SURFACE OF LIVING CELL ,
WO2008118370A3,HYPERBARIC TREATMENT IN WOUND HEALING ,
WO2003020896A9,PRODUCTION OF CULTURED HUMAN MAST CELLS AND BASOPHILS FOR HIGH THROUGHPUT SMALL MOLECULE DRUG DISCOVERY ,
WO2005093076A1,"METHOD OF SEPARATING PRECUSROR CELLS OF LIVER CELLS, ENDOTHELIAL CELLS OR HEMATOPOIETIC CELLS FROM CELL MASS ",
WO2008109659A3,"COMPLEXES OF HYALURONANS, OTHER MATRIX COMPONENTS, HORMONES AND GROWTH FACTORS FOR MAINTENANCE, EXPANSION AND/OR DIFFERENTIATION OF CELLS ",
WO1999010494A3,"AGONIST ANTIBODIES TO THE THROMBOPOIETIN RECEPTOR, AND THEIR THERAPEUTIC USES ",
WO2006085959A3,FUSION PROTEINS COMPRISING CD4 MINIMAL MODULES AND METHODS OF USE THEREOF ,
WO2007075215A3,IDENTIFICATION OF NOVEL PROTEIN TARGETS ON THE SURFACE OF STRESSED CELLS ,
WO2000028000A3,METHOD FOR PRODUCING DENDRITIC CELLS ,
WO2006055841A3,INDEFINITE CULTURE OF HUMAN ADULT GLIA WITHOUT IMMORTALIZATION AND THERAPEUTIC USES THEREOF ,
WO2001094549A3,METHODS OF DIFFERENTIATING AND PROTECTING CELLS BY MODULATING THE P38/MEF2 PATHWAY ,
WO2007134908A3,USE OF THYMOSIN ALPHA 1 FOR THE TREATMENT OF IMMUNOLOGICAL DISEASES ,
WO2004031385A1,HUMAN ARTIFICIAL CHROMOSOME (HAC) VECTOR ,
WO2004076652A1,MEDIUM FOR STEM CELLS TO BE USED IN INTERVERTEBRAL DISK GENERATION AND REGENERATION OF INTERVERTEBRAL DISK USING STEM CELLS ,
WO2007124074A3,"SYSTEMS, DEVICES, AND METHODS EMPLOYING THERAPEUTIC ULTRASOUND OF LIVING TISSUES ",
WO2003074668A3,MODELS OF CELLULAR DEVELOPMENT USING HOMOZYGOUS STEM CELLS ,
WO2002033054A1,POLY&#946;2 KNOCKOUT ANIMALS ,
WO2002040644A1,AGENT IMPARTING RESISTANCE TO EXTERNAL STIMULI ,
WO2008153685A3,PROGENITOR CELLS FROM URINE AND METHODS FOR USING THE SAME ,
WO2003064601A3,ADULT HUMAN OLFACTORY STEM CELL ,
WO2005044179A8,FORMULATIONS CONTAINING ASTRAGALUS EXTRACTS AND USES THEREOF ,
WO2009099539A3,"(METH)ACRYLATE SURFACES FOR CELL CULTURE, METHODS OF MAKING AND USING THE SURFACES ",
WO1999040107A3,METHOD OF PROMOTING KERATINOCYTE PROLIFERATION ,
WO2009152247A3,THROMBOPOIETIC ACTIVITY OF TYROSYL-TRNA SYNTHETASE POLYPEPTIDES ,
WO2008075378A3,XENO-FREE CULTURE CONDITIONS FOR HUMAN EMBRYONIC STEM CELLS AND METHODS THEREOF ,
WO2009151907A3,COMPOSITIONS AND METHODS FOR USING CELLS TO TREAT HEART TISSUE ,
WO2008075796A1,AGENT FOR PROMOTING RECOVERY FROM BLOOD CELL DEPLETION ,
WO2009048778A3,"LAMININS, DERIVATIVES, AND COMPOSITIONS INCLUDING SAME AND METHOD FOR THEIR THERAPEUTIC USE ",
WO2010008054A1,METHOD FOR PRODUCTION OF REPROGRAMMED CELL USING CHROMOSOMALLY UNINTEGRATED VIRUS VECTOR ,
WO2007149246A3,CRE-LOX BASED GENE KNOCKDOWN CONSTRUCTS AND METHODS OF USE THEREOF ,
WO2010016083A8,USE OF ISOLATED MATURE ADIPOCYTES IN REGENERATIVE MEDICINE FOR THE RECONSTRUCTION AND REPARATION OF TISSUES ,
WO2005056780A3,"CELL CULTURE WITH NM23, CELL CULTURE MEDIA COMPRISING NM23 AND THERAPEUTIC USE OF CELLS CULTURED IN THE PRESENCE OF NM23. ",
WO2005100548A1,PROCESS FOR PRODUCING MULTIPOTENTIAL STEM CELL ORIGINATING IN TESTOID CELL ,
WO2001019966A3,ISOLATION OF MUSCLE-DERIVED STEM CELLS AND USES THEREFOR ,
WO2006032054A9,DIFFERENTIATION OF HUMAN MESENCHYMAL STEM CELLS TO CARDIAC PROGENITOR CELLS THAT PROMOTE CARDIAC REPAIR ,
WO2008109832A3,VIABLE NEAR-INFRARED FLUOROCHROME LABELED CELLS AND METHODS OF MAKING AND USING SAME ,
WO2010075286A8,MOLECULAR ACTIVATORS OF THE Wnt/?-CATENIN PATHWAY ,
WO2007052808A1,HYDRAZIDE COMPOUND AND THROMBOPOIETIN RECEPTOR ACTIVATOR ,
WO2010056075A3,COMPOSITION COMPRISING MESENCHYMAL STEM CELLS OR CULTURE SOLUTION OF MESENCHYMAL STEM CELLS FOR THE PREVENTION OR TREATMENT OF NEURAL DISEASES ,
WO2007124125A3,METHODS OF IDENTIFYING STEM CELLS IN NORMAL AND CANCEROUS TISSUES AND RELATED PROGENY CELLS ,
WO2004053144A3,MODULATION OF STEM CELL DIFFERENTIATION BY MODULATION OF CASPASE-3 ACTIVITY ,
WO2007093183A3,USE OF A COMPOUND THAT ENHANCES GABAA-ERGIC NEUROTRANSMISSION FOR THE TREATMENT OF INFLAMMATORY DISEASES ,
WO2008011752A2,"DRUGS FOR RESISTING BACTERIA, VIRUSES, CANCERS, TUMORS, IRRITABILITIES AND DEFECTS ",
WO2001068814A3,"MULTIPOTENT CELL AND CARDIOMYOCYTE CELL POPULATIONS, AND ROUTES TO AND USES OF SAME ",
WO2009136747A3,"COSMETIC COMPOSITION COMPRISING A STEM-CELL CULTURE FLUID, AND A PRODUCTION METHOD THEREFOR ",
WO2007149182A3,DIFFERENTIATION AND ENRICHMENT OF ISLET-LIKE CELLS FROM HUMAN PLURIPOTENT STEM CELLS ,
WO2002098357A3,MICROFABRICATED TISSUE AS A SUBSTRATE FOR PIGMENT EPITHELIUM TRANSPLANTATION ,
WO2007089367A3,USE HEDGEHOG KINASE ANTAGONISTS TO INHIBIT HEDGEHOG SIGNALING AND TO TREAT CANCER ,
WO2007140243A3,HEPATIC STELLATE CELL PRECURSORS AND METHODS OF ISOLATING SAME ,
WO2010056337A3,METHODS AND SYSTEMS OF USING EXOSOMES FOR DETERMINING PHENOTYPES ,
WO2009152484A3,METHODS AND PLATFORMS FOR DRUG DISCOVERY ,
WO2003100024A3,TREATMENT FOR DIABETES ,
WO2005076981A3,METHODS AND COMPOSITIONS RELATED TO NEURONAL DIFFERENTIATION ,
WO2007102432A1,METHOD FOR PRODUCING GLYCOPROTEIN COMPOSITION ,
WO2007091409A1,FEEDER CELL DERIVED FROM TISSUE STEM CELL ,
WO2006118564A3,"MODIFIED CELLS EXPRESSING A PROTEIN THAT MODULATES ACTIVITY OF bHLH PROTEINS, AND USES THEREOF ",
WO2009066934A3,METHODS FOR IMPROVEMENT OF BIRTH RATES IN CANIDAE ON SOMATIC CELL NUCLEAR TRANSFER ,
WO2009068042A3,NOVEL PEPTIDES DERIVED FROM NCAM (FGLS) ,
WO2005094888A1,DAMAGED TISSUE THERAPEUTIC AGENT AND THERAPEUTIC METHOD ,
WO2004078927A3,PROGENITOR CELLS AND METHODS OF USING SAME ,
WO2010130869A1,USE OF OLIVE LEAF EXTRACTS IN A PHARMACEUTICAL COMPOSITION FOR INDUCING ANGIOGENESIS AND VASCULOGENESIS ,
WO2004029219A3,CELL-BASED RNA INTERFERENCE AND RELATED METHODS AND COMPOSITIONS ,
WO1990015877A3,"METHODS, COMPOSITIONS AND DEVICES FOR GROWING CELLS",
WO2009070767A3,SYSTEMIC INSTIGATION SYSTEMS TO STUDY TUMOR GROWTH OR METASTASIS ,
WO2009102966A3,BMP-7 FOR USE IN TREATING VASCULAR SCLEROSIS ,
WO2009107984A3,COMPOSITION FOR PREVENTING SKIN AGING CONTAINING PLANT SPROUT EXTRACTS ,
WO2002051988A3,THYMIC EPITHELIAL PROGENITOR CELLS AND USES THEREOF ,
WO2006090918A1,DIABETES MODEL ANIMAL ,
WO2002014479B1,"ISOLATED MAMMALIAN NEURAL STEM CELLS, METHODS OF MAKING SUCH CELLS, AND METHODS OF USING SUCH CELLS ",
WO2006068809A3,SUBSTRATE RECOGNITION BY DIFFERENTIABLE HUMAN MESENCHYMAL STEM CELLS ,
WO2001053461A9,MULTIPOTENT NEURAL STEM CELLS FROM PERIPHERAL TISSUES AND USES THEREOF ,
WO2005094553A3,COMPOSITIONS FOR PROMOTING BONE GROWTH AND METHODS THEREOF ,
WO2010126074A1,PHARMACEUTICAL COMPOSITION FOR MAINTENANCE THERAPY WHICH CONTAINS ANTIBODY CAPABLE OF RECOGNIZING HLA CLASS-I AS ACTIVE INGREDIENT ,
WO2007137181A3,PHOSPHODIESTERASE 4 INHIBITORS FOR COGNITIVE AND MOTOR REHABILITATION ,
WO2002012447A3,ISOLATION AND USE OF SOLID TUMOR STEM CELLS ,
WO2010087740A1,"METHOD FOR INCREASING THE ACCURACY OF DETERMINING THE SEQUENCE OF BIOPOLYMER AMINO-ACID RESIDUES ON THE BASIS OF MASS-SPECTROMETRIC ANALYSIS DATA, A COMPUTER SYSTEM ",
WO2007115232A3,CXCR4 MODULATORS ,
WO2000056350A3,METHODS OF USE OF BETA 1-INTEGRIN INHIBITORS ,
WO2007105990A1,INHIBITOR FOR DIFFERENTIATION OF HEMATOPOIETIC PRECURSOR CELLS ,
WO2007137320A3,ALLELE DETECTION ,
WO2010038991A2,COMPOSITION FOR PREVENTING OR TREATING AIDS CONTAINING PLANT STEM CELL LINE DERIVED FROM CAMBIUM OF PANAX GINSENG INCLUDING WILD GINSENG OR GINSENG AS ACTIVE INGREDIENT ,
WO2007106351A3,POROUS SILICON MATERIALS AND DEVICES ,
WO2006126263A1,VHL PEPTIDE ,
WO2007123814A3,PREVENTION OR TREATMENT OF MALE PATTERN BALDNESS METHOD AND DEVICE ,
WO2006113881A3,METHOD OF USING STROMA CELLS FROM CORD BLOOD TO EXPAND AND ENGRAFT NUCLEATED CELLS FROM CORD BLOOD ,
WO2004078916A3,"IN VITRO MICRO-ORGANS, AND USES RELATED THERETO ",
WO2008073653A3,IL- 17B FOR USE IN WOUND HEALING ,
WO2007059501A3,EXTRACELLULAR MATRIX COMPONENTS FOR EXPANSION OR DIFFERENTIATION OF HEPATIC PROGENITORS ,
WO2009143421A3,METHODS FOR PROMOTING FUSION AND REPROGRAMMING OF SOMATIC CELLS ,
WO2007114351A1,NOVEL CELL CULTURE METHOD AND METHODS OF PRODUCING AND COLLECTING CELL MASSES USING THE SAME ,
WO2004052418A1,GRAFT FOR REGENERATING BONE-CARTILAGE TISSUE ,
WO2000069449A3,CONDITIONED CELL CULTURE MEDIUM COMPOSITIONS AND METHODS OF USE ,
WO2008008569A3,PRELAMIN A PRE PEPTIDE AS A UNIVERSAL STEM CELL DIFFERENTIATION SIGNAL ,
WO2010087283A1,METHOD FOR CONTROLLING PROPAGATION OF UMBILICAL CORD BLOOD HEMATOPOIETIC STEM CELLS AND USE THEREOF ,
WO2006065933A3,OXYGEN-CONTROLLED ENVIRONMENT FOR CELL- AND TISSUE CULTURE ,
WO2006022330A1,METHOD OF PRODUCING DENDRITIC CELL FROM PRRIMATE EMBRYONIC STEM CELL ,
WO2009117439A3,COMBINED CHEMICAL AND GENETIC APPROACHES FOR GENERATION OF INDUCED PLURIPOTENT STEM CELLS ,
WO2007101130A3,COMPOSITIONS AND METHODS USEFUL FOR CULTURING DIFFERENTIABLE CELLS ,
WO2009120810A3,NEURODEGENERATIVE DISORDERS ,
WO2009065070A4,PROSTAGLANDIN E1 AND E2 ANALOGS FOR THE TREATMENT OF VARIOUS MEDICAL CONDITIONS ,
WO2010137878A2,CELLULE SOUCHE DE PLANTE DÉRIVÉE D'UN CAMBIUM DE LA FAMILLE DES GINGKOACEAE ET PROCÉDÉ PERMETTANT DE L'ISOLER ,
WO2009104907A3,"PLURIPOTENT CANCER STEM CELL LINE, AND A PRODUCTION METHOD THEREFOR ",
WO2004104166A3,ADMINISTRATION OF HYALURONIC ACID TO ENHANCE THE FUNCTION OF TRANSPLANTED STEM CELLS ,
WO2003037248A3,FIBRIN NANOPARTICLES AND USES THEREOF ,
WO1995022611A3,METHODS AND COMPOSITIONS FOR STIMULATING BONE CELLS ,
WO2008060540A3,"METHODS OF IDENTIFYING COMPOSITIONS THAT MODULATE THE PROTEIN TYROSINE PHOSPHATASE, PTP-BL ",
WO2002036765A1,NOVEL PROTEIN AND DNA THEREOF ,
WO2007067905A3,THERAPEUTIC USE FOR &#945;1 PROTEINASE INHIBITOR IN HEMATOPOIESIS ,
WO2005017117A3,MULTIPOTENT AMNIOTIC FETAL STEM CELLS (MAFSC) AND BANKING OF SAME ,
WO2005040351A3,COMPOSITIONS FOR INDUCING CELL GROWTH AND DIFFERENTIATION AND METHODS OF USING SAME ,
WO2009004664A3,"IMMORTALIZED CELL LINE OF MURINE MESENCHYMAL STEM CELLS, METHOD FOR PREPARATION AND USES THEREOF ",
WO2009026463A3,ROBUST REGRESSION BASED EXON ARRAY PROTOCOL SYSTEM AND APPLICATIONS ,
WO2008095152A3,METHODS AND MATERIALS FOR IDENTIFYING THE ORIGIN OF A CARCINOMA OF UNKNOWN PRIMARY ORIGIN ,
WO2009102983A3,EFFICIENT INDUCTION OF PLURIPOTENT STEM CELLS USING SMALL MOLECULE COMPOUNDS ,
WO2007141580A3,RNASE H2 COMPLEX AND GENES THEREFOR ,
WO2007114979A3,"GENE DISRUPTONS, COMPOSITIONS AND METHODS RELATING THERETO ",
WO2007139982A3,METHODS AND COMPOSITIONS FOR GENE INACTIVATION ,
WO2004042018A3,DOPAMINE NEURONS FROM HUMAN EMBRYONIC STEM CELLS ,
WO2009054996A3,SYSTEMS AND METHODS FOR VIRAL THERAPY ,
WO2007067502A3,CARDIAC TARGETED DELIVERY OF CELLS ,
WO2005078070A1,MEDIUM FOR PREPARING FEEDER CELLS FOR EMBRYONIC STEM CELLS AND FEEDER CELLS ,
WO2002102998A1,ANIMAL WITH GENE HYPOEXPRESSION ,
WO2003014336A1,PROCESS FOR PREPARING HEMATOPOIETIC STEM CELLS ,
WO2001025398A3,PROCESS FOR INDUCING FUNCTIONAL TOLERANCE TO GENE TRANSFER PRODUCTS ,
WO2006033769A3,ASSAYS AND COMPOSITIONS FOR IDENTIFICATION OF CANCER ASSOCIATED LIVER STEM CELLS ,
WO2001062901A3,PLEURIPOTENT STEM CELLS GENERATED FROM ADIPOSE TISSUE-DERIVED STROMAL CELLS AND USES THEREOF ,
WO2001072970A3,METHODS TO PREPARE AND USE EPIDERMAL STEM CELLS ,
WO2005063969A3,"METHODS FOR THE IDENTIFICATION AND PREPARATION OF REGULATOR/SUPPRESSOR T LYMPHOCYTES, COMPOSITIONS AND USES THEREOF ",
WO2007026353A3,MEDIA FOR CULTURING STEM CELLS ,
WO2005116192A3,GENETICALLY ENGINEERED CELLS FOR THERAPEUTIC APPLICATIONS ,
WO2008033874A3,BONE MARROW ASPIRATION DEVICES AND RELATED METHODS ,
WO2010117301A2,METHOD FOR PRODUCING PLURIPOTENTIAL CELLS ,
WO2005033268A8,STEM CELLS FOR CLINICAL AND COMMERCIAL USES ,
WO2002026767A3,HAPLOTYPES OF THE CASP2 GENE ,
WO2010110602A2,METHOD FOR REGENERATING DOPAMINERGIC NEURONS IN THE SUBSTANTIA NIGRA PARS COMPACTA USING HUMAN ADULT STEM CELLS OR PRECURSOR CELLS ,
WO2008154368A3,TOPICAL POLOXAMER FORMULATIONS FOR ENHANCING MICROVASCULAR FLOW: COMPOSITIONS AND USES THEREOF ,
WO2006102557A3,TREATMENT OF PROTEIN DEGRADATION DISORDERS ,
WO2009131837A3,"SYSTEMS, METHODS AND COMPOSITIONS FOR OPTICAL STIMULATION OF TARGET CELLS ",
WO2004055155A3,"METHODS OF PREPARING FEEDER CELLS-FREE, XENO-FREE HUMAN EMBRYONIC STEM CELLS AND STEM CELL CULTURES PREPARED USING SAME ",
WO2010068897A3,STEM CELL ENHANCED PROTEIN PRODUCTS AND USES THEREOF ,
WO2003013588A1,KIDNEY REGENERATION MATERIAL COMPRISING CELLS AND CELL GROWTH FACTOR ,
WO2006017855A3,"METHODS AND COMPOSITIONS FOR REGULATION OF STEM CELL SURVIVAL, PROLIFERATION, AND DIFFERENTIATION BY PROTEIN UBIQUITINATION ",
WO2008109837A3,METHOD FOR EXPRESSION OF SMALL ANTIVIRAL RNA MOLECULES WITH REDUCED CYTOTOXICITY WITHIN A CELL ,
WO2008109465A4,NUCLEIC ACID COMPOUNDS FOR INHIBITING FGFR GENE EXPRESSION AND USES THEREOF ,
WO2003066856A1,METHOD OF DIFFERENTIATING/INDUCING BONE MARROW INTERSTITIAL CELLS INTO NERVE CELLS AND SKELETON MUSCLE CELLS BY TRANSFERRING Notch GENE ,
WO2010090177A1,METHOD FOR INDUCING DIFFERENTIATION OF MESENCHYMAL STEM CELLS ,
WO2007112134A3,METHODS TO PREVENT CYTOTOXICITY USING N-ACETYL-CYSTEINE ,
WO2006001938A3,METHODS AND COMPOSITIONS FOR PRODUCING GERM CELLS FROM BONE MARROW DERIVED GERMLINE STEM CELLS ,
WO2010056341A3,COMPOSITIONS AND METHODS FOR TISSUE REPAIR ,
WO2008077094A3,METHODS FOR PROMOTING NEOVASCULARIZATION ,
WO2010006219A3,USE OF SCAFFOLD COMPRISING FIBRIN FOR DELIVERY OF STEM CELLS ,
WO2006123699A1,INDUCER OF DIFFERENTIATION OF STEM CELL INTO OSTEOBLAST ,
WO2007101063A3,TREATMENT OF DEVELOPMENT-RELATED DISORDERS ,
WO2004075855A3,PROCESS FOR IN VIVO TREATMENT OF SPECIFIC BIOLOGICAL TARGETS IN BODILY FLUID ,
WO2009030901A3,BIOMATERIAL SCAFFOLDS FOR CONTROLLED TISSUE GROWTH ,
WO2007012764A3,"CELL/LIGAND MARKING SYSTEM, WHEREIN THE MARKER IS OF EPH TYPE, CELL MATERIAL COMPRISING SAID SYSTEM, METHOD FOR PREPARING SAME AND PROANGIOGENETIC USE ",
WO2005021704A3,IN VITRO GENERATION OF GABAERGIC NEURONS FROM EMBRYONIC STEM CELLS AND THEIR USE IN THE TREATMENT OF NEUROLOGICAL DISORDERS ,
WO2009076164A3,CANCELLOUS BONE IMPLANT FOR CARTILAGE REPAIR ,
WO2005046598A3,CULTURING AND DIFFERENTIATING NEURAL PRECURSOR CELLS ,
WO2007084730A3,METHOD OF IMPROVING CELL PROLIFERATION OF PANCREATIC PROGENITOR CELLS IN A PANCREATIC CELL CULTURE ,
WO2007133250A3,COMPOSITIONS AND METHODS FOR DIAGNOSING AND TREATING CANCER ,
WO2008064132A3,SYNTHETIC TRITERPENOIDS AND TRICYCLIC-BIS-ENONES FOR USE IN STIMULATING BONE AND CARTILAGE GROWTH ,
WO2010038904A1,INDUCED PLURIPOTENT STEM CELL FREE OF EXOGENOUS NUCLEAR REPROGRAMMING FACTOR OR DNA ENCODING THE FACTOR AND METHOD FOR PRODUCING THE CELL ,
WO2009038417A3,PLANT STEM CELL LINE DERIVED FROM CAMBIUM OF HERBACEOUS PLANT WITH STORAGE ROOT AND METHOD FOR ISOLATING THE SAME ,
WO1995022612A3,GENES AND GENETIC ELEMENTS ASSOCIATED WITH SENSITIVITY TO PLATINUM-BASED DRUGS ,
WO2010054271A8,MATERIALS AND METHODS TO ENHANCE HEMATOPOIETIC STEM CELLS ENGRAFTMENT PROCEDURES ,
WO1993005807A3,ERYTHROPOIETIN POTENTIATING AGENTS AND METHODS FOR THEIR USE,
WO2009061369A3,DIRECTED EVOLUTION USING PROTEINS COMPRISING UNNATURAL AMINO ACIDS ,
WO2008100498A3,TREATMENT OF INFLAMMATORY DISEASES USING PLACENTAL STEM CELLS ,
WO2007084354A3,USE OF MESENCHYMAL STEM CELLS FOR TREATING GENETIC DISEASES AND DISORDERS ,
WO2007062855A3,RADIOIMMUNOCONJUGATE FOR HUMAN CD66 FOR THE TREATMENT OF MULTIPLE MYELOMA ,
WO2005035581A1,COMPOSITION OF ANTIBODY CAPABLE OF SPECIFICALLY BINDING HUMAN VEGF RECEPTOR Flt-1 ,
WO2007142139A1,METHOD OF IDENTIFYING CANDIDATE FOR REMEDY OF ACUTE MYELOID LEUKEMIA ,
WO2007004635A1,"METHOD FOR DIFFERENTIATION CULTURE OF PREADIPOCYTE INTO ADIPOCYTE BY COCULTURE WITH MACROPHAGE, AND SCREENING OF SUBSTANCE CAPABLE OF AFFECTING THE DIFFERENTIATION PROCESS OF PREADIPOCYTE INTO ADIPOCYTE ",
WO2002043477A1,"METHOD OF CONSTRUCTING MOUSE SUITABLE FOR THE TAKE, DIFFERENTIATION AND PROLIFERATION OF HETEROGENOUS CELLS, MOUSE CONSTRUCTED BY THIS METHOD AND USE OF THE MOUSE ",
WO2001078752A3,TREATMENT OF DISORDERS BY IMPLANTING STEM CELLS AND/OR PROGENY THEREOF INTO GASTROINTESTINAL ORGANS ,
WO2008102602A1,ORGAN REGENERATION METHOD UTILIZING BLASTOCYST COMPLEMENTATION ,
WO2003085092A3,CELLULAR TRANSPLANTATION FOR HEART REGENERATION ,
WO2008133362A8,PROLIFERATION CULTURE METHODS USING MICRO-SCAFFOLDS FOR REGULATIONS OF CELL-TO-CELL SIGNALS ,
WO2006060214A3,APPARATUS AND METHODS FOR MANIPULATION AND OPTIMIZATION OF BIOLOGICAL SYSTEMS ,
WO2007117765A3,EX VIVO GENERATED TISSUE SYSTEM ,
WO2006090724A1,TRANSGENIC MOUSE OR TRANSGENIC RAT HAVING MUTANT TRPV3 GENE INTRODUCED THEREIN ,
WO2010059565A3,ALLOGRAFTS COMBINED WITH TISSUE DERIVED STEM CELLS FOR BONE HEALING ,
WO2009158480A3,STIMULATION OF CARTILAGE FORMATION USING REDUCED PRESSURE TREATMENT AND CHONDROCYTES ,
WO2007040212A1,NEURONAL DIFFERENTIATION INHIBITOR PEPTIDE AND USE THEREOF ,
WO2006057876A3,METHODS AND SOLUTIONS FOR TISSUE PRESERVATION ,
WO2007083119A3,METHODS ,
WO2010070141A3,MICROPARTICLES COMPRISING ADIPOSE STEM CELLS ,
WO2010088633A3,NOVEL CELL LINES AND METHODS ,
WO2003085079A1,"CELL CULTURE SYSTEM, APPARATUS FOR CHECKING CULTURED CELLS AND APPARATUS FOR CULTURING CELLS ",
